Id_cliente,Cliente,Razao_social,Situacao,Criado_em,Atualizado_em,Tipo_de_contrato,Contrato,FMH_Help_Desk,FM_On_Site_SSP,FM_Help_Desk,FM_LABIN,FM_Telefonia,FM_On_Site_Ti,FMH_On_site_Ti,FMH_On_site_SSP,Grupo_cliente,Setor,CEP,Cidade,Estado
685213,Aparecida S.A.,APARECIDA S.A. LTDA,Ativo,2024-10-21 17:11:00.000000,2026-03-19 19:30:01.720151,Horas,Rescindido,0.0,10,0,0,10,20,80.0,0.0,Escritorios Associados,Contabil,79002-000,CAMPO GRANDE,MS
568083,Monteiro e Filhos,MONTEIRO E FILHOS LTDA,Ativo,2023-09-13 22:52:05.000000,2026-03-19 19:30:01.720193,Horas,Sim,40.0,50,10,0,10,5,10.0,10.0,Escritorios Associados,Contabil,58010-000,JOAO PESSOA,PB
264217,Castro,CASTRO LTDA,Inativo,2024-11-30 03:27:59.000000,2026-03-19 19:30:01.720220,Chamado,Sim,0.0,0,10,20,5,0,20.0,80.0,Manufatura Sul,Industria,62010-000,SOBRAL,CE
105421,da Luz,DA LUZ LTDA,Inativo,2023-07-20 22:20:40.000000,2026-03-19 19:30:01.720241,Eqpto/Colab,Sim,20.0,5,0,5,0,10,40.0,10.0,Escritorios Associados,Contabil,57010-000,MACEIO,AL
840568,Martins - EI,MARTINS - EI LTDA,Inativo,2026-02-25 18:46:04.000000,2026-03-19 19:30:01.720266,Eqpto/Colab,Não,40.0,20,20,20,5,0,20.0,10.0,Tecnologia,Servicos,68900-000,MACAPA,AP
754069,da Cunha S/A,DA CUNHA S/A LTDA,Inativo,2025-05-19 04:38:51.000000,2026-03-19 19:30:01.720286,Eqpto/Colab,Sim,0.0,20,50,0,0,10,40.0,20.0,Tecnologia,Servicos,89201-000,JOINVILLE,SC
560603,Sa,SA LTDA,Inativo,2024-09-21 10:03:03.000000,2026-03-19 19:30:01.720306,Chamado,Não,10.0,10,0,20,50,10,80.0,10.0,Vendas Diretas,Varejo,96010-000,PELOTAS,RS
154391,Sales,SALES LTDA,Ativo,2025-04-26 16:27:27.000000,2026-03-19 19:30:01.720327,Horas,Rescindido,40.0,50,10,10,5,0,80.0,0.0,Tecnologia,Servicos,59010-000,NATAL,RN
472956,Rodrigues - ME,RODRIGUES - ME LTDA,Inativo,2023-11-18 18:11:42.000000,2026-03-19 19:30:01.720347,Horas,Rescindido,80.0,5,10,5,5,10,0.0,10.0,Tecnologia,Servicos,36010-000,JUIZ DE FORA,MG
562213,Aragao Fonseca - EI,ARAGAO FONSECA - EI LTDA,Inativo,2023-12-19 19:11:21.000000,2026-03-19 19:30:01.720368,Eqpto/Colab,Rescindido,0.0,10,5,5,0,5,20.0,10.0,Tecnologia,Servicos,29010-000,VITORIA,ES
296542,Gomes,GOMES LTDA,Inativo,2023-11-27 00:47:35.000000,2026-03-19 19:30:01.720387,Eqpto/Colab,Rescindido,40.0,20,5,5,10,0,80.0,0.0,Escritorios Associados,Contabil,65010-000,SAO LUIS,MA
842871,Vargas,VARGAS LTDA,Inativo,2025-12-19 18:01:32.000000,2026-03-19 19:30:01.720406,Eqpto/Colab,Sim,40.0,5,10,10,0,20,80.0,20.0,Escritorios Associados,Contabil,74003-010,GOIANIA,GO
757772,da Rosa - ME,DA ROSA - ME LTDA,Inativo,2023-12-13 05:36:40.000000,2026-03-19 19:30:01.720425,Chamado,Rescindido,20.0,0,10,50,20,0,40.0,10.0,Escritorios Associados,Contabil,29010-000,VITORIA,ES
171963,Vargas Rocha - ME,VARGAS ROCHA - ME LTDA,Ativo,2025-11-13 08:07:18.000000,2026-03-19 19:30:01.720444,Chamado,Sim,40.0,20,10,5,10,5,10.0,20.0,Escritorios Associados,Contabil,66010-000,BELEM,PA
152434,Monteiro - ME,MONTEIRO - ME LTDA,Inativo,2024-05-20 04:47:08.000000,2026-03-19 19:30:01.720464,Horas,Rescindido,40.0,50,10,50,0,10,10.0,0.0,Tecnologia,Servicos,40010-000,SALVADOR,BA
425122,Goncalves - ME,GONCALVES - ME LTDA,Ativo,2023-11-18 05:54:56.000000,2026-03-19 19:30:01.720482,Horas,Não,20.0,5,0,0,10,5,10.0,10.0,Manufatura Sul,Industria,74003-010,GOIANIA,GO
559223,Pacheco Sa - EI,PACHECO SA - EI LTDA,Ativo,2024-08-21 11:38:50.000000,2026-03-19 19:30:01.720500,Chamado,Não,0.0,5,10,10,50,20,80.0,40.0,Escritorios Associados,Contabil,55002-000,CARUARU,PE
527080,Ramos,RAMOS LTDA,Ativo,2023-07-24 01:34:51.000000,2026-03-19 19:30:01.720519,Eqpto/Colab,Sim,20.0,10,50,50,10,20,40.0,80.0,Tecnologia,Servicos,78005-000,CUIABA,MT
828634,Siqueira S/A,SIQUEIRA S/A LTDA,Inativo,2026-02-26 01:14:19.000000,2026-03-19 19:30:01.720537,Horas,Rescindido,80.0,50,20,10,50,50,20.0,40.0,Vendas Diretas,Varejo,55002-000,CARUARU,PE
556383,Garcia - EI,GARCIA - EI LTDA,Inativo,2025-04-21 11:10:07.000000,2026-03-19 19:30:01.720556,Chamado,Não,20.0,10,20,20,20,50,10.0,20.0,Tecnologia,Servicos,24020-000,NITEROI,RJ
206622,Pereira Vargas - ME,PEREIRA VARGAS - ME LTDA,Ativo,2025-07-12 11:04:11.000000,2026-03-19 19:30:01.720574,Chamado,Não,10.0,20,20,0,20,10,10.0,0.0,Escritorios Associados,Contabil,76801-000,PORTO VELHO,RO
463586,Fonseca Garcia e Filhos,FONSECA GARCIA E FILHOS LTDA,Ativo,2023-08-19 07:55:25.000000,2026-03-19 19:30:01.720593,Eqpto/Colab,Não,80.0,50,50,50,20,0,40.0,0.0,Tecnologia,Servicos,18010-000,SOROCABA,SP
665726,Ferreira,FERREIRA LTDA,Ativo,2023-08-30 07:38:54.000000,2026-03-19 19:30:01.720611,Chamado,Rescindido,10.0,0,50,50,0,50,80.0,40.0,Manufatura Sul,Industria,58400-000,CAMPINA GRANDE,PB
827714,Moura Silva S/A,MOURA SILVA S/A LTDA,Ativo,2024-07-27 10:19:18.000000,2026-03-19 19:30:01.720629,Chamado,Rescindido,80.0,0,50,50,5,0,40.0,40.0,Manufatura Sul,Industria,76801-000,PORTO VELHO,RO
519391,Albuquerque da Conceicao e Filhos,ALBUQUERQUE DA CONCEICAO E FILHOS LTDA,Inativo,2024-01-26 00:45:44.000000,2026-03-19 19:30:01.720649,Eqpto/Colab,Não,0.0,20,20,50,10,50,20.0,40.0,Tecnologia,Servicos,69900-000,RIO BRANCO,AC
182724,da Costa,DA COSTA LTDA,Inativo,2023-05-20 11:57:40.000000,2026-03-19 19:30:01.720667,Horas,Não,20.0,5,5,50,0,5,80.0,0.0,Tecnologia,Servicos,80010-000,CURITIBA,PR
414857,Peixoto,PEIXOTO LTDA,Ativo,2024-06-13 12:14:46.000000,2026-03-19 19:30:01.720686,Eqpto/Colab,Não,40.0,50,50,50,20,10,10.0,10.0,Escritorios Associados,Contabil,74003-010,GOIANIA,GO
107833,Garcia e Filhos,GARCIA E FILHOS LTDA,Ativo,2025-08-25 04:16:16.000000,2026-03-19 19:30:01.720703,Horas,Não,10.0,5,5,50,0,10,10.0,80.0,Manufatura Sul,Industria,11010-000,SANTOS,SP
252491,Pereira,PEREIRA LTDA,Ativo,2023-04-01 21:51:01.000000,2026-03-19 19:30:01.720722,Horas,Não,80.0,50,20,50,0,10,20.0,0.0,Manufatura Sul,Industria,74003-010,GOIANIA,GO
508988,Camargo,CAMARGO LTDA,Ativo,2025-09-27 22:51:34.000000,2026-03-19 19:30:01.720739,Chamado,Não,80.0,10,10,0,0,10,0.0,20.0,Manufatura Sul,Industria,30110-000,BELO HORIZONTE,MG
285669,Garcia S/A,GARCIA S/A LTDA,Inativo,2025-04-05 00:40:20.000000,2026-03-19 19:30:01.720757,Eqpto/Colab,Não,0.0,0,0,20,0,10,0.0,40.0,Manufatura Sul,Industria,88010-000,FLORIANOPOLIS,SC
456113,Campos Moraes Ltda.,CAMPOS MORAES LTDA. LTDA,Ativo,2024-01-23 21:01:27.000000,2026-03-19 19:30:01.720775,Eqpto/Colab,Não,20.0,0,0,10,5,10,20.0,10.0,Escritorios Associados,Contabil,69900-000,RIO BRANCO,AC
689746,Novais e Filhos,NOVAIS E FILHOS LTDA,Inativo,2026-02-12 21:06:05.000000,2026-03-19 19:30:01.720793,Chamado,Não,40.0,20,50,10,20,20,40.0,80.0,Escritorios Associados,Contabil,56302-000,PETROLINA,PE
727452,Melo,MELO LTDA,Inativo,2023-03-30 14:21:11.000000,2026-03-19 19:30:01.720811,Chamado,Rescindido,0.0,0,0,50,0,0,0.0,40.0,Manufatura Sul,Industria,14010-000,RIBEIRAO PRETO,SP
402655,Nascimento,NASCIMENTO LTDA,Ativo,2024-05-28 01:16:38.000000,2026-03-19 19:30:01.720830,Eqpto/Colab,Sim,10.0,5,50,5,10,5,10.0,10.0,Vendas Diretas,Varejo,59010-000,NATAL,RN
433992,Correia S/A,CORREIA S/A LTDA,Ativo,2023-11-15 12:46:57.000000,2026-03-19 19:30:01.720850,Eqpto/Colab,Não,0.0,50,50,0,5,20,80.0,10.0,Vendas Diretas,Varejo,65010-000,SAO LUIS,MA
594926,Barros - EI,BARROS - EI LTDA,Ativo,2025-09-15 20:16:33.000000,2026-03-19 19:30:01.720878,Eqpto/Colab,Não,80.0,0,0,20,20,0,10.0,10.0,Vendas Diretas,Varejo,70040-000,BRASILIA,DF
750659,Macedo,MACEDO LTDA,Ativo,2026-02-13 22:01:22.000000,2026-03-19 19:30:01.720897,Horas,Não,80.0,50,5,20,50,20,40.0,10.0,Tecnologia,Servicos,56302-000,PETROLINA,PE
278973,Rodrigues Alves S.A.,RODRIGUES ALVES S.A. LTDA,Inativo,2025-11-02 20:39:28.000000,2026-03-19 19:30:01.720916,Eqpto/Colab,Sim,0.0,5,0,10,5,20,0.0,20.0,Escritorios Associados,Contabil,99010-000,PASSO FUNDO,RS
390543,Montenegro S.A.,MONTENEGRO S.A. LTDA,Inativo,2024-11-22 15:32:54.000000,2026-03-19 19:30:01.720934,Eqpto/Colab,Não,40.0,10,5,5,10,20,0.0,20.0,Manufatura Sul,Industria,15010-000,SAO JOSE DO RIO PRETO,SP
623086,Costa Fernandes Ltda.,COSTA FERNANDES LTDA. LTDA,Ativo,2025-09-02 08:53:03.000000,2026-03-19 19:30:01.720952,Horas,Rescindido,20.0,0,20,0,0,5,80.0,80.0,Tecnologia,Servicos,39400-000,MONTES CLAROS,MG
495935,Pimenta,PIMENTA LTDA,Ativo,2025-03-28 10:28:26.000000,2026-03-19 19:30:01.720970,Horas,Não,80.0,10,50,0,0,5,40.0,40.0,Escritorios Associados,Contabil,58400-000,CAMPINA GRANDE,PB
236488,Carvalho,CARVALHO LTDA,Ativo,2024-04-17 06:14:46.000000,2026-03-19 19:30:01.720989,Horas,Sim,40.0,5,5,10,20,0,40.0,10.0,Escritorios Associados,Contabil,39400-000,MONTES CLAROS,MG
329393,Castro,CASTRO LTDA,Inativo,2025-06-26 07:48:07.000000,2026-03-19 19:30:01.721007,Horas,Sim,0.0,5,5,10,20,5,40.0,40.0,Tecnologia,Servicos,39400-000,MONTES CLAROS,MG
151819,Viana,VIANA LTDA,Ativo,2025-06-06 18:17:07.000000,2026-03-19 19:30:01.721027,Horas,Rescindido,40.0,10,20,10,5,20,80.0,40.0,Vendas Diretas,Varejo,89201-000,JOINVILLE,SC
483654,Ferreira Abreu Ltda.,FERREIRA ABREU LTDA. LTDA,Ativo,2024-02-17 05:06:46.000000,2026-03-19 19:30:01.721044,Horas,Rescindido,80.0,50,50,10,20,0,80.0,40.0,Manufatura Sul,Industria,44001-000,FEIRA DE SANTANA,BA
552266,Albuquerque,ALBUQUERQUE LTDA,Ativo,2024-06-21 15:26:30.000000,2026-03-19 19:30:01.721062,Eqpto/Colab,Não,40.0,20,5,10,50,20,10.0,10.0,Manufatura Sul,Industria,24020-000,NITEROI,RJ
214924,Nogueira,NOGUEIRA LTDA,Inativo,2024-02-24 19:53:52.000000,2026-03-19 19:30:01.721082,Chamado,Sim,0.0,20,20,10,20,5,40.0,20.0,Vendas Diretas,Varejo,24020-000,NITEROI,RJ
423878,Pires Macedo Ltda.,PIRES MACEDO LTDA. LTDA,Ativo,2025-09-29 22:28:12.000000,2026-03-19 19:30:01.721100,Eqpto/Colab,Rescindido,80.0,50,10,5,20,10,80.0,20.0,Escritorios Associados,Contabil,20010-000,RIO DE JANEIRO,RJ
687433,Campos,CAMPOS LTDA,Ativo,2024-08-24 17:02:09.000000,2026-03-19 19:30:01.721118,Eqpto/Colab,Sim,20.0,10,50,10,5,5,0.0,20.0,Manufatura Sul,Industria,66010-000,BELEM,PA
247875,Pastor Carvalho e Filhos,PASTOR CARVALHO E FILHOS LTDA,Ativo,2024-07-24 12:35:09.000000,2026-03-19 19:30:01.721136,Eqpto/Colab,Sim,80.0,10,0,10,10,20,0.0,20.0,Tecnologia,Servicos,78005-000,CUIABA,MT
365485,Pires,PIRES LTDA,Ativo,2025-09-13 07:43:05.000000,2026-03-19 19:30:01.721154,Eqpto/Colab,Rescindido,0.0,50,50,20,20,20,10.0,10.0,Vendas Diretas,Varejo,49010-000,ARACAJU,SE
678440,Guerra,GUERRA LTDA,Inativo,2023-06-07 19:21:06.000000,2026-03-19 19:30:01.721175,Horas,Rescindido,80.0,0,10,5,0,50,80.0,0.0,Escritorios Associados,Contabil,59010-000,NATAL,RN
524645,Carvalho,CARVALHO LTDA,Ativo,2024-01-14 11:53:59.000000,2026-03-19 19:30:01.721195,Horas,Não,10.0,20,0,50,50,5,80.0,10.0,Manufatura Sul,Industria,68900-000,MACAPA,AP
761968,Montenegro,MONTENEGRO LTDA,Ativo,2023-10-15 00:57:53.000000,2026-03-19 19:30:01.721216,Horas,Rescindido,10.0,5,20,20,0,0,80.0,10.0,Tecnologia,Servicos,14010-000,RIBEIRAO PRETO,SP
871274,Albuquerque Gomes S/A,ALBUQUERQUE GOMES S/A LTDA,Ativo,2025-06-15 12:43:52.000000,2026-03-19 19:30:01.721234,Horas,Rescindido,10.0,0,50,5,50,20,40.0,0.0,Tecnologia,Servicos,69005-000,MANAUS,AM
112349,Lopes Campos e Filhos,LOPES CAMPOS E FILHOS LTDA,Inativo,2023-07-02 15:11:52.000000,2026-03-19 19:30:01.721253,Eqpto/Colab,Não,20.0,20,50,0,5,20,20.0,80.0,Tecnologia,Servicos,50010-000,RECIFE,PE
191147,Dias,DIAS LTDA,Ativo,2025-11-30 01:29:51.000000,2026-03-19 19:30:01.721272,Horas,Não,40.0,0,20,20,50,5,20.0,20.0,Tecnologia,Servicos,55002-000,CARUARU,PE
327027,Monteiro,MONTEIRO LTDA,Ativo,2026-03-08 02:04:13.000000,2026-03-19 19:30:01.721291,Chamado,Sim,40.0,0,50,5,0,10,20.0,80.0,Vendas Diretas,Varejo,59010-000,NATAL,RN
355084,Novais,NOVAIS LTDA,Ativo,2026-01-27 14:48:58.000000,2026-03-19 19:30:01.721308,Horas,Sim,40.0,10,10,50,10,20,40.0,40.0,Tecnologia,Servicos,58010-000,JOAO PESSOA,PB
190969,Dias,DIAS LTDA,Inativo,2024-12-18 23:02:27.000000,2026-03-19 19:30:01.721327,Horas,Não,40.0,50,50,20,50,0,10.0,20.0,Manufatura Sul,Industria,59010-000,NATAL,RN
454962,Leao S.A.,LEAO S.A. LTDA,Inativo,2023-10-03 09:12:10.000000,2026-03-19 19:30:01.721345,Horas,Não,0.0,0,10,20,10,10,10.0,20.0,Escritorios Associados,Contabil,11010-000,SANTOS,SP
575685,das Neves,DAS NEVES LTDA,Ativo,2023-09-22 15:28:49.000000,2026-03-19 19:30:01.721365,Chamado,Sim,0.0,50,20,50,0,20,10.0,40.0,Tecnologia,Servicos,11010-000,SANTOS,SP
754668,Cavalcanti Guerra S/A,CAVALCANTI GUERRA S/A LTDA,Ativo,2023-11-22 20:26:17.000000,2026-03-19 19:30:01.721383,Chamado,Rescindido,0.0,5,50,20,50,50,40.0,10.0,Escritorios Associados,Contabil,20010-000,RIO DE JANEIRO,RJ
295715,Pinto,PINTO LTDA,Ativo,2025-11-20 12:59:38.000000,2026-03-19 19:30:01.721403,Chamado,Rescindido,40.0,50,10,10,0,5,80.0,20.0,Escritorios Associados,Contabil,15010-000,SAO JOSE DO RIO PRETO,SP
879542,Guerra Sampaio S.A.,GUERRA SAMPAIO S.A. LTDA,Inativo,2024-12-04 23:17:26.000000,2026-03-19 19:30:01.721421,Horas,Sim,10.0,20,5,20,20,0,80.0,40.0,Tecnologia,Servicos,24020-000,NITEROI,RJ
577847,Moreira S/A,MOREIRA S/A LTDA,Inativo,2025-05-29 19:42:36.000000,2026-03-19 19:30:01.721438,Chamado,Sim,0.0,0,10,5,0,20,10.0,80.0,Escritorios Associados,Contabil,69900-000,RIO BRANCO,AC
161669,Silva Caldeira - ME,SILVA CALDEIRA - ME LTDA,Inativo,2024-03-04 03:51:15.000000,2026-03-19 19:30:01.721456,Horas,Rescindido,80.0,5,20,20,50,0,20.0,10.0,Vendas Diretas,Varejo,01001-000,SAO PAULO,SP
885352,Barros,BARROS LTDA,Inativo,2024-03-28 15:43:48.000000,2026-03-19 19:30:01.721473,Chamado,Rescindido,20.0,10,0,50,0,20,80.0,20.0,Escritorios Associados,Contabil,59010-000,NATAL,RN
120438,Aragao Correia Ltda.,ARAGAO CORREIA LTDA. LTDA,Ativo,2023-04-15 12:39:12.000000,2026-03-19 19:30:01.721491,Horas,Não,80.0,50,50,0,10,10,10.0,20.0,Vendas Diretas,Varejo,90010-000,PORTO ALEGRE,RS
870109,Fonseca Pereira - ME,FONSECA PEREIRA - ME LTDA,Inativo,2023-07-18 05:42:57.000000,2026-03-19 19:30:01.721509,Horas,Rescindido,20.0,50,20,20,0,0,0.0,20.0,Tecnologia,Servicos,20010-000,RIO DE JANEIRO,RJ
328278,Camara,CAMARA LTDA,Ativo,2023-07-27 11:36:24.000000,2026-03-19 19:30:01.721528,Horas,Não,0.0,50,10,0,10,50,0.0,40.0,Tecnologia,Servicos,30110-000,BELO HORIZONTE,MG
382808,Guerra,GUERRA LTDA,Inativo,2024-06-11 15:19:05.000000,2026-03-19 19:30:01.721546,Eqpto/Colab,Rescindido,0.0,5,20,0,50,0,20.0,40.0,Tecnologia,Servicos,78005-000,CUIABA,MT
499163,Mendonca,MENDONCA LTDA,Ativo,2024-12-06 07:53:11.000000,2026-03-19 19:30:01.721564,Horas,Não,80.0,10,10,10,0,50,80.0,80.0,Manufatura Sul,Industria,38400-000,UBERLANDIA,MG
576703,Costa S/A,COSTA S/A LTDA,Ativo,2023-04-06 16:21:51.000000,2026-03-19 19:30:01.721583,Horas,Rescindido,40.0,5,50,50,20,0,0.0,80.0,Vendas Diretas,Varejo,11010-000,SANTOS,SP
484686,Melo da Costa Ltda.,MELO DA COSTA LTDA. LTDA,Inativo,2024-10-11 03:48:25.000000,2026-03-19 19:30:01.721601,Chamado,Rescindido,20.0,5,10,20,5,5,10.0,40.0,Tecnologia,Servicos,40010-000,SALVADOR,BA
476780,Marques da Mota - EI,MARQUES DA MOTA - EI LTDA,Ativo,2024-10-23 15:42:00.000000,2026-03-19 19:30:01.721619,Horas,Sim,40.0,10,5,10,0,5,80.0,0.0,Vendas Diretas,Varejo,76801-000,PORTO VELHO,RO
814572,Jesus e Filhos,JESUS E FILHOS LTDA,Inativo,2025-02-21 20:31:04.000000,2026-03-19 19:30:01.721637,Chamado,Rescindido,80.0,5,0,20,50,10,40.0,80.0,Tecnologia,Servicos,15010-000,SAO JOSE DO RIO PRETO,SP
435460,Camara,CAMARA LTDA,Inativo,2024-05-17 16:44:56.000000,2026-03-19 19:30:01.721655,Horas,Sim,20.0,5,0,10,0,10,10.0,40.0,Escritorios Associados,Contabil,57010-000,MACEIO,AL
418953,Aparecida S/A,APARECIDA S/A LTDA,Inativo,2023-05-02 16:03:23.000000,2026-03-19 19:30:01.721673,Horas,Sim,40.0,20,20,10,0,20,40.0,10.0,Vendas Diretas,Varejo,15010-000,SAO JOSE DO RIO PRETO,SP
260163,Camara Costa S/A,CAMARA COSTA S/A LTDA,Inativo,2023-06-25 14:46:04.000000,2026-03-19 19:30:01.721690,Horas,Rescindido,80.0,20,50,50,5,10,10.0,40.0,Tecnologia,Servicos,56302-000,PETROLINA,PE
783821,Novaes Ltda.,NOVAES LTDA. LTDA,Ativo,2024-09-02 09:59:35.000000,2026-03-19 19:30:01.721708,Chamado,Sim,0.0,5,5,50,5,5,20.0,0.0,Vendas Diretas,Varejo,99010-000,PASSO FUNDO,RS
868045,da Conceicao,DA CONCEICAO LTDA,Ativo,2025-06-05 10:01:29.000000,2026-03-19 19:30:01.721725,Eqpto/Colab,Sim,10.0,20,20,50,20,5,80.0,80.0,Tecnologia,Servicos,69005-000,MANAUS,AM
467189,Peixoto e Filhos,PEIXOTO E FILHOS LTDA,Inativo,2023-06-12 18:26:54.000000,2026-03-19 19:30:01.721743,Eqpto/Colab,Rescindido,10.0,20,10,5,50,20,10.0,10.0,Manufatura Sul,Industria,12209-000,SAO JOSE DOS CAMPOS,SP
130097,Duarte,DUARTE LTDA,Ativo,2025-01-25 19:34:41.000000,2026-03-19 19:30:01.721762,Eqpto/Colab,Não,40.0,5,50,20,5,20,20.0,20.0,Manufatura Sul,Industria,76801-000,PORTO VELHO,RO
796445,Pacheco Araujo - EI,PACHECO ARAUJO - EI LTDA,Ativo,2023-11-10 01:16:00.000000,2026-03-19 19:30:01.721779,Chamado,Não,10.0,10,10,10,10,20,0.0,0.0,Manufatura Sul,Industria,87013-000,MARINGA,PR
601706,Albuquerque - ME,ALBUQUERQUE - ME LTDA,Inativo,2023-06-13 01:48:03.000000,2026-03-19 19:30:01.721799,Eqpto/Colab,Rescindido,20.0,10,5,5,20,10,10.0,10.0,Tecnologia,Servicos,39400-000,MONTES CLAROS,MG
776099,Fernandes Ltda.,FERNANDES LTDA. LTDA,Ativo,2025-08-24 07:06:00.000000,2026-03-19 19:30:01.721817,Chamado,Sim,10.0,5,5,20,10,50,10.0,10.0,Escritorios Associados,Contabil,58400-000,CAMPINA GRANDE,PB
743124,Pereira S/A,PEREIRA S/A LTDA,Ativo,2025-09-20 09:50:30.000000,2026-03-19 19:30:01.721835,Eqpto/Colab,Rescindido,40.0,5,20,0,50,10,20.0,10.0,Tecnologia,Servicos,56302-000,PETROLINA,PE
263104,Moreira Casa Grande - EI,MOREIRA CASA GRANDE - EI LTDA,Ativo,2024-11-23 07:38:14.000000,2026-03-19 19:30:01.721853,Eqpto/Colab,Sim,40.0,50,5,5,20,5,40.0,80.0,Tecnologia,Servicos,87013-000,MARINGA,PR
310717,da Mota Ferreira - EI,DA MOTA FERREIRA - EI LTDA,Ativo,2025-02-02 23:38:47.000000,2026-03-19 19:30:01.721871,Chamado,Sim,80.0,5,50,5,0,50,40.0,40.0,Manufatura Sul,Industria,57010-000,MACEIO,AL
343766,Rocha,ROCHA LTDA,Inativo,2024-02-23 20:27:37.000000,2026-03-19 19:30:01.721888,Eqpto/Colab,Não,20.0,5,0,20,10,20,0.0,80.0,Vendas Diretas,Varejo,36010-000,JUIZ DE FORA,MG
465896,Dias,DIAS LTDA,Inativo,2024-12-09 07:02:52.000000,2026-03-19 19:30:01.721906,Eqpto/Colab,Sim,10.0,50,20,0,50,10,80.0,0.0,Manufatura Sul,Industria,69900-000,RIO BRANCO,AC
530335,Moreira - ME,MOREIRA - ME LTDA,Inativo,2023-05-31 20:08:00.000000,2026-03-19 19:30:01.721927,Chamado,Sim,10.0,0,10,10,20,0,40.0,20.0,Manufatura Sul,Industria,18010-000,SOROCABA,SP
307243,da Rocha,DA ROCHA LTDA,Ativo,2024-12-04 17:10:58.000000,2026-03-19 19:30:01.721947,Eqpto/Colab,Sim,40.0,50,5,10,50,0,10.0,20.0,Escritorios Associados,Contabil,89010-000,BLUMENAU,SC
411305,Melo Ltda.,MELO LTDA. LTDA,Ativo,2024-02-10 12:07:00.000000,2026-03-19 19:30:01.721965,Chamado,Rescindido,0.0,0,0,10,5,20,80.0,20.0,Vendas Diretas,Varejo,24020-000,NITEROI,RJ
242114,Campos Aparecida S/A,CAMPOS APARECIDA S/A LTDA,Inativo,2025-07-01 08:16:25.000000,2026-03-19 19:30:01.721982,Horas,Não,40.0,20,5,20,10,10,40.0,40.0,Manufatura Sul,Industria,99010-000,PASSO FUNDO,RS
312104,Teixeira Ltda.,TEIXEIRA LTDA. LTDA,Ativo,2024-11-03 20:45:17.000000,2026-03-19 19:30:01.722001,Horas,Não,40.0,10,0,0,5,50,80.0,0.0,Escritorios Associados,Contabil,95010-000,CAXIAS DO SUL,RS
